iter	MAE	RMSE
0	5.583723269	8.315474125
1	5.341653942	7.947315172
2	5.115081301	7.60559417
3	4.896283775	7.274419464
4	4.691308211	6.967078554
5	4.502397174	6.67449088
6	4.321015387	6.396391438
7	4.144916862	6.131558466
8	3.973522935	5.877093749
9	3.810335336	5.639933159
10	3.655965494	5.41373143
11	3.517429347	5.198247925
12	3.385264586	4.993785414
13	3.259844275	4.798676774
14	3.139181174	4.614845311
15	3.025644124	4.442971085
16	2.913037045	4.278692717
17	2.819158011	4.12433886
18	2.718607904	3.975058993
19	2.628904943	3.834035492
20	2.5420908	3.703810326
21	2.456673426	3.579460218
22	2.383900782	3.46524943
23	2.31294876	3.354774635
24	2.250246097	3.249992776
25	2.186573938	3.150906433
26	2.129305681	3.056556255
27	2.070656131	2.967598534
28	2.015439225	2.88067939
29	1.958942139	2.802154998
30	1.913450217	2.728957496
31	1.865564245	2.656906719
32	1.818310059	2.589772252
33	1.778998453	2.525836915
34	1.737264778	2.463741629
35	1.698114428	2.406980508
36	1.663558591	2.353475981
37	1.624841151	2.301431707
38	1.591074206	2.251222037
39	1.565983698	2.206449335
40	1.537702783	2.162795789
41	1.506773352	2.120187111
42	1.482256976	2.080505464
43	1.455163788	2.044378668
44	1.430918486	2.010588705
45	1.404589667	1.975037626
46	1.379638415	1.939318386
47	1.358208172	1.909889185
48	1.337414452	1.882488744
49	1.3144784	1.852053892
50	1.290616286	1.82305467
51	1.2791234	1.800499081
52	1.26413978	1.775936042
53	1.245336027	1.750126629
54	1.229587069	1.726012476
55	1.212698129	1.705225012
56	1.194959472	1.68383754
57	1.18016816	1.662561791
58	1.165509469	1.643967601
59	1.152043423	1.626126442
60	1.135449802	1.605667051
61	1.121946988	1.588582162
62	1.107000668	1.57033213
63	1.092003388	1.553163365
64	1.081914355	1.538435813
65	1.068257547	1.522255285
66	1.055323411	1.506473002
67	1.043560273	1.492195024
68	1.036863909	1.480460678
69	1.026755072	1.466696612
70	1.017553102	1.451874024
71	1.009280871	1.439558269
72	1.001066188	1.426111332
73	0.9906309878	1.41511334
74	0.9838180291	1.404375121
75	0.9737278085	1.391315543
76	0.9648276168	1.381423438
77	0.9577224917	1.369778306
78	0.9466540421	1.35886534
79	0.937674106	1.349972955
80	0.9287937871	1.338708124
81	0.9221010704	1.328799289
82	0.9102038865	1.316374435
83	0.9006656194	1.305900536
84	0.8916149628	1.297681886
85	0.8827062685	1.287569047
86	0.8760583024	1.279745368
87	0.8704753145	1.270796501
88	0.8598428383	1.261729363
89	0.8529375689	1.254853124
90	0.8482056789	1.249172637
91	0.8402467942	1.242819619
92	0.8344643089	1.237320915
93	0.8258987211	1.22744513
94	0.8203473328	1.218982813
95	0.8139945194	1.213495877
96	0.8101922652	1.208815396
97	0.8057547333	1.202021899
98	0.8006732105	1.194553688
99	0.7953893488	1.1897943
100	0.7915268786	1.185466702
101	0.7824440896	1.176313559
102	0.7793844832	1.170435212
103	0.7750342144	1.166146109
104	0.7707655163	1.162192098
105	0.7653153014	1.156223848
106	0.758126082	1.150518535
107	0.7553214598	1.14709377
108	0.7471601263	1.140066629
109	0.745407183	1.137444165
110	0.7434092172	1.134811753
111	0.7419367051	1.129800095
112	0.7367458282	1.121903123
113	0.7333962808	1.116132086
114	0.7294496862	1.112941046
115	0.7228048293	1.104982792
116	0.7199234474	1.102246098
117	0.7135942516	1.093555905
118	0.7085037339	1.086104715
119	0.7013279921	1.078887375
120	0.6961850651	1.071608109
121	0.6946153046	1.068853451
122	0.6898713335	1.064303984
123	0.6868213829	1.061645348
124	0.6851525016	1.059600797
125	0.678606286	1.053807847
126	0.6722623264	1.047850645
127	0.6682494659	1.044920939
128	0.6663038855	1.042861429
129	0.6653287142	1.038356963
130	0.6616655108	1.035590623
131	0.6580874678	1.030640877
132	0.655723666	1.027064392
133	0.6546743556	1.023094366
134	0.6501803726	1.018746721
135	0.6449987863	1.013707814
136	0.6405572556	1.007377739
137	0.6383923	1.005400542
138	0.634248122	1.002179778
139	0.6318226368	1.000153157
140	0.6309684063	0.9961131714
141	0.6274263413	0.9933908447
142	0.6252482638	0.9897917144
143	0.6212972688	0.9843206454
144	0.6167337467	0.9785869175
145	0.6137007814	0.9758156171
146	0.6119497631	0.9742345574
147	0.6097209311	0.9723207326
148	0.6067672981	0.9682477563
149	0.6057499016	0.9671267258
150	0.6036779135	0.9644919853
151	0.5993437726	0.9599409131
152	0.5972886792	0.9564941949
153	0.5961889193	0.9544308501
154	0.5934976726	0.9503237515
155	0.592258468	0.9490375245
156	0.5888585176	0.9443578646
157	0.5871623975	0.9428416616
158	0.5846379817	0.939143712
159	0.5809419352	0.9350446489
160	0.5790908837	0.9322725593
161	0.578452182	0.9278875218
162	0.5753024774	0.9244962718
163	0.5738699098	0.9223155725
164	0.5699097291	0.9189022959
165	0.5663548973	0.9159888841
166	0.5634467229	0.9137761355
167	0.5608328022	0.9107221931
168	0.5586418202	0.9088053369
169	0.5569057942	0.9072343216
170	0.5564002547	0.9032974867
171	0.5551044619	0.9021631455
172	0.5532068933	0.900643531
173	0.5501940997	0.8967918505
174	0.5474250905	0.8942738454
175	0.5469377119	0.8907386665
176	0.5464483821	0.890002195
177	0.5452548636	0.8887296669
178	0.5440125498	0.8861634457
179	0.5412687139	0.8840114581
180	0.539341017	0.8820070533
181	0.538464037	0.8812352263
182	0.5361258355	0.8795301949
183	0.5343799313	0.8782611327
184	0.5322542197	0.8755080757
185	0.5297425182	0.8722179058
186	0.529130145	0.8685845957
187	0.5286599464	0.8654284212
188	0.526732616	0.863113758
189	0.5263049524	0.8598279501
190	0.5254648175	0.8590711297
191	0.5234355694	0.8566192392
192	0.5220545484	0.8539946259
193	0.519822059	0.8523185722
194	0.5174301689	0.8496235341
195	0.5163618072	0.8487282579
196	0.515395982	0.8478881178
197	0.514530043	0.8455388521
198	0.5138776974	0.8427967132
199	0.5134786982	0.8398313531
200	0.51296534	0.8390400789
201	0.5125879508	0.8364913244
202	0.5113338753	0.8343002223
203	0.5089977967	0.8316660392
204	0.5063219357	0.8287183102
205	0.5038616393	0.8265612397
206	0.5025141972	0.8247479393
207	0.5001713402	0.822626841
208	0.499692262	0.8194156435
209	0.4986509831	0.816844212
210	0.4974482253	0.8159987867
211	0.4952038562	0.8134274551
212	0.4931118423	0.8114901776
213	0.4910325606	0.8093568805
214	0.4900588505	0.8086006106
215	0.4883413903	0.8066305784
216	0.4865533424	0.8048822049
217	0.4858589133	0.8042379412
218	0.485499537	0.801454193
219	0.485161517	0.7988675618
220	0.4848421272	0.796824409
221	0.4833125419	0.7957854399
222	0.4822308664	0.794649709
223	0.4819191246	0.7923950275
224	0.4809618592	0.7899410408
225	0.4795144156	0.7883615238
226	0.4777801497	0.7861941511
227	0.477477342	0.7844507272
228	0.4767890786	0.7837856046
229	0.4764572699	0.7820870114
230	0.4761652673	0.7803263131
231	0.475160402	0.7786105709
232	0.4746939221	0.7781528314
233	0.4744559703	0.7766435867
234	0.4735915029	0.7748486012
235	0.4730358811	0.7743343259
236	0.4715530725	0.7729786964
237	0.471288345	0.7715713337
238	0.470525689	0.7690251815
239	0.4692278028	0.7681602786
240	0.4689437707	0.7668690525
241	0.4683158742	0.7663735839
242	0.4670496861	0.7646017222
243	0.4659552908	0.7623944599
244	0.4644010133	0.7611482592
245	0.4641690399	0.7603575812
246	0.4637120369	0.7599148767
247	0.4631163998	0.7593165148
248	0.4613764569	0.7575561673
249	0.4599663593	0.7558675302
250	0.4590132856	0.7540452147
251	0.458341626	0.7517827453
252	0.4567118947	0.7502598981
253	0.4554009958	0.7493852852
254	0.4548068283	0.7474094076
255	0.4540515006	0.7468613762
256	0.4528765709	0.7451738253
257	0.4526439825	0.7439066875
258	0.4523634334	0.7424710282
259	0.4516591307	0.7419201783
260	0.4511646149	0.7415125633
261	0.4504692038	0.7399058507
262	0.4500890945	0.7395720455
263	0.4495195973	0.7376601574
264	0.4484372587	0.7364639583
265	0.4476124453	0.7349000036
266	0.4474174613	0.7338035865
267	0.4469719152	0.7322558049
268	0.4464388259	0.7318325097
269	0.4462191363	0.7307607337
270	0.4448736846	0.7293575297
271	0.4444759931	0.7290164314
272	0.4435611862	0.7275064688
273	0.4421640442	0.7262255968
274	0.4418299355	0.7245180825
275	0.4416204018	0.7235207262
276	0.4409812878	0.7225971436
277	0.4404615079	0.722206485
278	0.4402798611	0.7214052672
279	0.4393561579	0.7199219982
280	0.43875403	0.7191238805
281	0.4378344451	0.7183931919
282	0.4372591345	0.7166383008
283	0.4363409306	0.7154321542
284	0.4352667102	0.7143134678
285	0.4350127921	0.7134496728
286	0.4346904889	0.713173235
287	0.4337628492	0.7120180005
288	0.4326016345	0.7110183152
289	0.432335804	0.7100979626
290	0.4317621086	0.7096433376
291	0.4314134758	0.7083219016
292	0.430642816	0.7069504913
293	0.4298437955	0.7061189251
294	0.4286210239	0.7050114758
295	0.428180246	0.7043469251
296	0.427697551	0.7028757644
297	0.4275321645	0.7021377855
298	0.4272907251	0.7019112434
299	0.4264627038	0.7008124732
300	0.4255420639	0.6997281776
301	0.4253454298	0.6990661562
302	0.4250017393	0.6987317684
303	0.4239832126	0.6978537861
304	0.4232759466	0.6964224294
305	0.4225866602	0.6956195139
306	0.4223133871	0.6953350692
307	0.421394428	0.6944068862
308	0.4208219634	0.6929363464
309	0.420629624	0.6923400563
310	0.4198365931	0.6917127996
311	0.4196179595	0.6910327387
312	0.4186801615	0.6902026642
313	0.4180096611	0.6889160898
314	0.4177485869	0.6881830593
315	0.4170502611	0.6873289685
316	0.4169652132	0.6870690019
317	0.4167773301	0.6868711421
318	0.4162235942	0.6863227224
319	0.415602917	0.6853143395
320	0.4148144487	0.6847866952
321	0.414162676	0.6835494537
322	0.4138237164	0.6832792314
323	0.4131508474	0.6827372835
324	0.4129634206	0.6822002582
325	0.4121258146	0.6813670669
326	0.4119455951	0.6812110222
327	0.4117207986	0.6802934632
328	0.4111468761	0.6791118321
329	0.4105380742	0.6782859003
330	0.4105007847	0.6781609479
331	0.40957519	0.6772717289
332	0.4090273298	0.6763774711
333	0.4088582344	0.67584321
334	0.4086288756	0.6756565447
335	0.4084175201	0.6750357864
336	0.4075929129	0.6742231938
337	0.4068955134	0.6737978162
338	0.4065277843	0.6728434122
339	0.4061145537	0.672563919
340	0.4057985437	0.6723284323
341	0.4053045021	0.6720277747
342	0.4047141708	0.6713842566
343	0.4043422204	0.6705283108
344	0.403734417	0.6698226798
345	0.4030042811	0.6691655312
346	0.4028411131	0.6684001911
347	0.4023185067	0.6677537556
348	0.4021821913	0.6672845651
349	0.4018336519	0.6660309812
350	0.4015633553	0.6658186771
351	0.4010864557	0.6650247005
352	0.4009133332	0.6639651804
353	0.4007948766	0.6634824155
354	0.4004731398	0.6632731623
355	0.4000929531	0.6630214285
356	0.3993315685	0.662266384
357	0.3988247066	0.661589298
358	0.3987275975	0.6614429137
359	0.3980562527	0.6607963952
360	0.3976837299	0.6602205085
361	0.3972854731	0.659499441
362	0.3971073542	0.6590375472
363	0.3966841809	0.6586771853
364	0.3961225032	0.6583123513
365	0.3960139809	0.6582083626
366	0.3958461965	0.6572087389
367	0.3952730613	0.6566083502
368	0.3949683202	0.6555425374
369	0.3944287365	0.6549462683
370	0.3941192015	0.65426836
371	0.3938028146	0.6540481401
372	0.3934240566	0.6532156891
373	0.3932676656	0.6528130354
374	0.3928639726	0.6523084687
375	0.3926991432	0.6512030662
376	0.3921934045	0.6506699689
377	0.3918712685	0.650081967
378	0.3918117609	0.64991304
379	0.3916796731	0.649790259
380	0.3910713577	0.6491942058
381	0.3908033366	0.6485481946
382	0.3904184132	0.648237625
383	0.3900757014	0.6480204356
384	0.3896476368	0.6475435161
385	0.3894549416	0.6473379082
386	0.3891999683	0.6467158029
387	0.3890348446	0.646571799
388	0.3884924704	0.6460481251
389	0.3883420573	0.64547181
390	0.3879173375	0.6449779871
391	0.3873866217	0.644493136
392	0.3869126214	0.6441436861
393	0.386557966	0.6435236833
394	0.3861543219	0.6431086881
395	0.385939433	0.642423378
396	0.3857850385	0.6423059861
397	0.385387804	0.6420122352
398	0.3852725596	0.6417208326
399	0.3851608583	0.6415126586
400	0.3850406242	0.6414187646
401	0.3846825177	0.6406578973
402	0.3842750749	0.6402643924
403	0.3840759199	0.6400136949
404	0.3836850793	0.6395983374
405	0.3833607654	0.6390887973
406	0.3830038946	0.6388819888
407	0.3827249854	0.6380070401
408	0.3823600953	0.6376927151
409	0.3820555081	0.6370595166
410	0.3817679103	0.636853222
411	0.3813341638	0.6366180453
412	0.3811204675	0.6360842016
413	0.3807992621	0.635347005
414	0.3804625458	0.634970713
415	0.3802786123	0.6344950326
416	0.380158918	0.6340137082
417	0.379795159	0.6337364436
418	0.3794371692	0.6333974938
419	0.3793659849	0.6332505826
420	0.3790802003	0.6328305937
421	0.3787511874	0.6324364075
422	0.3783443812	0.6320689411
423	0.3781549089	0.6315368349
424	0.3779038393	0.6310117636
425	0.3777181621	0.6308855141
426	0.3776564326	0.6307128302
427	0.3773582649	0.6303643084
428	0.3771263498	0.6298940937
429	0.3770187854	0.6297964311
430	0.3768571813	0.6296465721
431	0.3765537847	0.6294061849
432	0.3763861681	0.6292761842
433	0.376329736	0.6291370565
434	0.3760278941	0.6286098193
435	0.3757836552	0.6281793293
436	0.3753639539	0.6277738682
437	0.3751445865	0.6274843704
438	0.3751000422	0.6273521446
439	0.3747173106	0.6271347872
440	0.3745715369	0.6270010916
441	0.3745396966	0.6269039959
442	0.3743784603	0.6264550321
443	0.3741137352	0.6261835061
444	0.3739052033	0.6256019513
445	0.3737349282	0.6254800761
446	0.3734742733	0.6250257274
447	0.3731799537	0.6246131551
448	0.3729844697	0.6241817985
449	0.3726939388	0.6239712204
450	0.3726454032	0.6238584314
451	0.3723642629	0.6235911515
452	0.3721585972	0.6232298518
453	0.371973554	0.6230906305
454	0.3718852332	0.6229421064
455	0.3714897518	0.6226766272
456	0.3713168534	0.6225622961
457	0.3710571853	0.6222689047
458	0.3707505112	0.6219931653
459	0.370710677	0.6218945002
460	0.3705809594	0.621108169
461	0.3704760585	0.6203962591
462	0.3704072411	0.6203377889
463	0.3702916267	0.6202690443
464	0.369966574	0.6199950594
465	0.3697871665	0.6194909366
466	0.3695197846	0.6191876452
467	0.3694401272	0.6190646105
468	0.3691525824	0.6189072044
469	0.3690414681	0.6182611069
470	0.3687120285	0.6177406646
471	0.3685680188	0.6172096376
472	0.3683303763	0.6170042072
473	0.3682963913	0.6169012032
474	0.3680670163	0.6165238818
475	0.3678792064	0.6162974504
476	0.3677185095	0.6160746581
477	0.3675437757	0.6157316858
478	0.3673673456	0.6154310783
479	0.3672363481	0.6149621786
480	0.367194747	0.6149210151
481	0.3668849297	0.6147500046
482	0.3667793652	0.6142650138
483	0.3667418055	0.6141739992
484	0.3665277656	0.6140022605
485	0.3663590908	0.6136829154
486	0.3661127534	0.6134412161
487	0.3659051452	0.6132062723
488	0.3658872728	0.6131454569
489	0.3656358494	0.6128251919
490	0.3656053229	0.6127446103
491	0.3653760409	0.6125208666
492	0.3651894628	0.6122739316
493	0.3649174924	0.6118241363
494	0.3647935941	0.6113928338
495	0.3644917713	0.6112175344
496	0.3644567583	0.6111249952
497	0.3642687011	0.6108444896
498	0.3642241295	0.6107772945
499	0.3640041916	0.6105764047
500	0.363816788	0.6104251708
501	0.363597775	0.6101881968
502	0.3635179771	0.6101190954
503	0.3634027378	0.610017632
504	0.3632042679	0.6096251597
505	0.3631011635	0.6092886993
506	0.3630715557	0.609210724
507	0.3629327952	0.6091198482
508	0.3626243238	0.6089508212
509	0.3624250165	0.6086510163
510	0.3621422573	0.6083989877
511	0.3620324551	0.6081285638
512	0.361814212	0.6079954652
513	0.3616680813	0.6077709142
514	0.3616260878	0.6077276387
515	0.361398157	0.6075954524
516	0.3611716182	0.6071982028
517	0.3610290095	0.6070160621
518	0.360858266	0.6067238313
519	0.3606015003	0.6066101555
520	0.3604023714	0.6063347773
521	0.3602016779	0.6061462804
522	0.3600395675	0.6057227961
523	0.3599157052	0.6055786494
524	0.359824391	0.6053103103
525	0.3596786659	0.6051224728
526	0.3594377052	0.6048126107
527	0.3592660026	0.6045018283
528	0.3590829154	0.6043707222
529	0.3588611757	0.60419619
530	0.3588459472	0.6041452693
531	0.3587257606	0.6038497591
532	0.3585873915	0.6037011366
533	0.3585625031	0.6036686454
534	0.3583663215	0.6033666191
535	0.3581356922	0.603177573
536	0.358087821	0.6031332135
537	0.3579997777	0.6027510389
538	0.3578338131	0.6025164795
539	0.3577222337	0.6020434865
540	0.3576425887	0.6013907839
541	0.3574432856	0.6011364416
542	0.3573793208	0.6010343667
543	0.3571733345	0.6007366776
544	0.3570578728	0.6003109567
545	0.3569867795	0.5998457467
546	0.3568613449	0.599650587
547	0.3568218812	0.5995510296
548	0.3567626374	0.5994619893
549	0.3566816625	0.5990382835
550	0.3564421079	0.598902825
551	0.3563120303	0.5986685129
552	0.3561872046	0.5978662918
553	0.3561171401	0.5975344125
554	0.3560916299	0.5974589203
555	0.3559265002	0.5972115075
556	0.3558892364	0.5971495932
557	0.3558298955	0.5967847193
558	0.3558070813	0.5967343319
559	0.3556804473	0.5965693076
560	0.3554742467	0.5963506461
561	0.3552438308	0.5962530015
562	0.3552084633	0.5961740411
563	0.3551951059	0.596133305
564	0.3551824666	0.5960948554
565	0.3551280827	0.5960472193
566	0.3550192339	0.595302797
567	0.3549019822	0.5951338479
568	0.3547797336	0.5949188406
569	0.3546234092	0.5947598754
570	0.3544208995	0.5946051618
571	0.3542515223	0.5942747266
572	0.354226492	0.5942221572
573	0.354030381	0.5941037105
574	0.3539437612	0.5938266299
575	0.3539141386	0.593764321
576	0.3538663238	0.5932798819
577	0.3537145583	0.5930935647
578	0.3536895643	0.5930379897
579	0.3534381244	0.5929047643
580	0.3533054957	0.5927622215
581	0.3531891445	0.5926228542
582	0.3530757484	0.5924962923
583	0.3529101741	0.592333359
584	0.3527141801	0.5922493714
585	0.3527020186	0.5922152154
586	0.3526347459	0.5913352781
587	0.3525291295	0.5910950611
588	0.3523642071	0.5909867711
589	0.3523514935	0.5909474005
590	0.3521800481	0.5907561249
591	0.3520838102	0.5906333763
592	0.3520390154	0.5904801034
593	0.351922897	0.590288928
594	0.3518469075	0.5902038613
595	0.3516994268	0.5900458524
596	0.3516135728	0.5894979806
597	0.351580305	0.5894324971
598	0.3514611683	0.589304943
599	0.3513750743	0.5892500496
600	0.3513581433	0.5892153713
601	0.3511954147	0.5890892456
602	0.3510604507	0.5889438398
603	0.3510303383	0.5888845069
604	0.3510173563	0.5888492747
605	0.3510036599	0.5888181947
606	0.3509125626	0.5886977246
607	0.3508418792	0.5886192022
608	0.3506977739	0.5884116398
609	0.3506796689	0.5883756056
610	0.350560529	0.5882394929
611	0.350435404	0.5881036402
612	0.3504185162	0.5880649561
613	0.3503011155	0.5879870313
614	0.3502271134	0.5871714149
615	0.3501181476	0.5870619424
616	0.3499242321	0.5869181262
617	0.349748783	0.586763984
618	0.3496715025	0.5865284414
619	0.3495874472	0.5864637785
620	0.3495731796	0.5864279053
621	0.3493919699	0.5863605475
622	0.349376674	0.5863282779
623	0.3492699943	0.5862109482
624	0.3491217743	0.5861241109
625	0.3489690384	0.585951842
626	0.3488657996	0.5858378127
627	0.3488461344	0.5858012048
628	0.3487895606	0.5853237681
629	0.3487180464	0.5850706824
630	0.348644494	0.5848279015
631	0.3485638365	0.5847235464
632	0.3485111913	0.5842780321
633	0.3484968994	0.5842510948
634	0.3483690542	0.5840723945
635	0.3483345356	0.5840287831
636	0.3482808912	0.5836933594
637	0.3481909993	0.5835358742
638	0.3481251966	0.583373597
639	0.3481108106	0.5833415984
640	0.3480820658	0.5832953721
641	0.347938626	0.583154076
642	0.3479277798	0.5831304247
643	0.3477514547	0.5830300434
644	0.3477281707	0.5829805811
645	0.3475918672	0.582890008
646	0.3474907268	0.5828232694
647	0.3474745642	0.5827896338
648	0.3474630633	0.5827767689
649	0.3473771987	0.5826003442
650	0.3472814307	0.5824545859
651	0.3471238122	0.5823416468
652	0.3471105736	0.5823057098
653	0.3470363279	0.5822142033
654	0.3469403395	0.5821144222
655	0.3467932821	0.5819488481
656	0.3466330414	0.5818471958
657	0.3465608754	0.5813737558
658	0.3464722078	0.5813226059
659	0.3463046252	0.5811803861
660	0.3462945656	0.5811591215
661	0.3462318731	0.5809060758
662	0.3461395387	0.5807415508
663	0.3460891948	0.5807075363
664	0.3460379451	0.5804738041
665	0.3459593069	0.5804046059
666	0.3459268746	0.580322261
667	0.3459152472	0.5802908406
668	0.3458537288	0.5801122824
