iter	Passed	Remaining
0	11	116560
1	19	98483
2	28	94519
3	35	88705
4	42	85867
5	50	83617
6	57	81398
7	63	78999
8	69	77645
9	75	75812
10	81	74397
11	89	74192
12	94	72672
13	99	71119
14	105	69931
15	111	69428
16	116	68493
17	123	68346
18	129	67817
19	134	66966
20	139	66254
21	145	65845
22	150	65318
23	156	64909
24	161	64449
25	168	64758
26	174	64473
27	179	64076
28	185	63950
29	191	63704
30	197	63578
31	203	63350
32	214	64637
33	220	64629
34	227	64789
35	234	64910
36	240	64874
37	247	64923
38	255	65251
39	260	64879
40	266	64835
41	272	64584
42	279	64644
43	284	64447
44	290	64197
45	298	64558
46	303	64288
47	312	64713
48	317	64454
49	322	64199
50	327	63942
51	334	63926
52	339	63790
53	345	63611
54	350	63454
55	356	63288
56	363	63341
57	368	63109
58	374	63054
59	380	63104
60	386	62912
61	391	62779
62	397	62745
63	403	62662
64	411	62913
65	418	63010
66	423	62834
67	430	62887
68	436	62765
69	441	62619
70	446	62499
71	453	62475
72	462	62836
73	467	62741
74	474	62780
75	481	62856
76	487	62818
77	493	62786
78	501	62949
79	509	63190
80	515	63165
81	522	63148
82	530	63381
83	535	63246
84	544	63552
85	551	63602
86	559	63731
87	568	64074
88	577	64315
89	585	64517
90	594	64781
91	602	64841
92	610	65048
93	618	65172
94	629	65641
95	635	65521
96	644	65845
97	650	65756
98	658	65844
99	666	65974
100	675	66176
101	682	66215
102	689	66235
103	697	66347
104	708	66808
105	717	66955
106	728	67380
107	733	67228
108	745	67625
109	751	67603
110	757	67519
111	764	67481
112	771	67473
113	777	67443
114	784	67465
115	793	67653
116	801	67681
117	810	67847
118	815	67719
119	824	67882
120	830	67844
121	839	67939
122	847	68041
123	855	68113
124	861	68077
125	872	68362
126	879	68369
127	888	68510
128	894	68427
129	900	68395
130	911	68704
131	920	68819
132	926	68746
133	936	68926
134	942	68886
135	952	69065
136	960	69180
137	969	69258
138	976	69295
139	985	69373
140	991	69327
141	1002	69581
142	1009	69558
143	1015	69499
144	1021	69459
145	1028	69410
146	1034	69331
147	1042	69371
148	1048	69313
149	1055	69284
150	1063	69366
151	1075	69703
152	1083	69715
153	1089	69636
154	1094	69523
155	1102	69574
156	1108	69484
157	1117	69588
158	1123	69513
159	1128	69431
160	1136	69457
161	1141	69348
162	1148	69296
163	1155	69322
164	1162	69276
165	1169	69268
166	1175	69194
167	1185	69356
168	1192	69389
169	1204	69622
170	1209	69550
171	1216	69502
172	1222	69422
173	1227	69345
174	1236	69422
175	1242	69347
176	1249	69359
177	1255	69254
178	1260	69162
179	1268	69195
180	1275	69179
181	1281	69126
182	1287	69051
183	1295	69094
184	1300	69008
185	1305	68896
186	1310	68778
187	1317	68739
188	1323	68688
189	1328	68583
190	1333	68489
191	1339	68410
192	1344	68321
193	1350	68250
194	1356	68203
195	1361	68124
196	1367	68047
197	1372	67954
198	1377	67852
199	1383	67777
200	1387	67664
201	1393	67604
202	1402	67699
203	1409	67665
204	1415	67655
205	1422	67648
206	1427	67554
207	1434	67525
208	1440	67488
209	1446	67445
210	1451	67362
211	1458	67315
212	1464	67276
213	1469	67193
214	1475	67153
215	1481	67125
216	1490	67191
217	1496	67136
218	1501	67064
219	1508	67066
220	1514	67016
221	1521	67003
222	1527	66950
223	1532	66890
224	1542	66998
225	1549	67006
226	1557	67051
227	1563	67009
228	1570	67029
229	1576	66974
230	1582	66943
231	1597	67270
